ist observation time,type,ip,host,domain name,sector,target,url
2018-10-01 13:18:26IST,phishing,200.73.115.17,datarescue.cl,,Email Provider,Webmail Providers,http://datarescue.cl/bace/907c20172c04ac2b303185acdd47ed3e?login=&.verify%3Fservice=mail&data:text%2Fhtml%3Bcharset=utf-8%3Bbase64%2CPGh0bWw%2BDQo8c3R5bGU%2BIGJvZHkgeyBtYXJnaW46IDA7IG92ZXJmbG93OiBoaWRkZW47IH0gPC9zdHlsZT4NCiAgPGlmcmFt
2018-10-01 13:18:26IST,phishing,200.73.115.17,datarescue.cl,,Email Provider,Webmail Providers,http://datarescue.cl/bace/03aa85045f9b9dd1c4ba4c240ee25817/?.verify?service=mail&base64
2018-10-01 13:18:26IST,phishing,200.73.115.17,datarescue.cl,,Email Provider,Webmail Providers,http://datarescue.cl/bace/e43ec6cbf8f5f102fc736d6c2a74687e/?.verify?service=mail&base64
2018-10-01 13:18:26IST,phishing,173.249.46.64,qrcode.myqrad.com,,Retail/Service,Apple Inc.,http://qrcode.myqrad.com/wp-content/myappleid_overlay_panel
2018-10-01 13:18:26IST,phishing,198.38.82.11,moontexgroup.com,,e-Commerce,Amazon.com Inc.,http://moontexgroup.com/common/ID8736437/ZOBA/lookysa/mnanuk/vk/ajitchofzbykikbr/logs/zabania/8231a36d456fd7f1a8763dd11da6461d/confirm.php
2018-10-01 13:18:25IST,phishing,198.38.82.11,moontexgroup.com,,e-Commerce,Amazon.com Inc.,http://moontexgroup.com/common/ID8736437/ZOBA/lookysa/mnanuk/vk/ajitchofzbykikbr/logs/zabania/8231a36d456fd7f1a8763dd11da6461d/bill.php
2018-10-01 13:18:25IST,phishing,198.38.82.11,moontexgroup.com,,e-Commerce,Amazon.com Inc.,http://moontexgroup.com/common/ID8736437/ZOBA/lookysa/mnanuk/vk/ajitchofzbykikbr/logs/zabania/8231a36d456fd7f1a8763dd11da6461d
2018-10-01 13:18:25IST,phishing,145.14.145.7,shashintrivedi.com,,Online Services,"Dropbox, Inc.",http://shashintrivedi.com/wp-content/themes/twentyseventeen/dp1/login.php
2018-10-01 13:18:25IST,phishing,217.61.7.154,encouragings.ml,,Email Provider,Outlook,http://encouragings.ml/section/image/file/outlook/ad7173b3253253611fecf452e4e00d05/error.php
2018-10-01 13:18:25IST,phishing,217.61.7.154,encouragings.ml,,Email Provider,Outlook,http://encouragings.ml/section/image/file/outlook/ad7173b3253253611fecf452e4e00d05/
2018-10-01 13:18:25IST,phishing,217.61.7.154,encouragings.ml,,Email Provider,Outlook,http://encouragings.ml/section/image/file/outlook/ad7173b3253253611fecf452e4e00d05/pass.php
2018-10-01 13:18:25IST,phishing,198.23.193.74,americasbackboneweekly.com,,Delivery Service,"DHL Airways, Inc.",https://americasbackboneweekly.com/new/quote/microsoftproject/docs/dhlparcel/DHL.htm
